Priority_Rank,Project_ID,Project_Name,Project_Type,City,State,Client_Type,Contract_Type,Delivery_Method,Project_Manager_ID,Project_Status,Current_Phase,Latest_Reporting_Date,Original_Budget,Current_Budget,Original_Contingency,Planned_Value,Earned_Value,Actual_Cost,Committed_Cost,Percent_Complete,Planned_End_Date,Forecast_End_Date,Contingency_Used,Latest_Open_RFI_Count,CO_Count,Approved_CO_Count,Total_Approved_CO_Value,Total_Pending_CO_Value,Approved_CO_Schedule_Days,Avg_CO_Approval_Days,RFI_Count,Open_RFI_Total,Avg_RFI_Response_Days,Late_RFI_Count,Impacted_RFI_Count,Total_RFI_Cost_Impact,Total_RFI_Schedule_Days,CPI,SPI,Cost_Variance,Schedule_Variance,EAC,ETC,VAC,Forecast_Overrun_Pct,Cost_Growth_Pct,Schedule_Delay_Days,Approved_CO_Pct,Pending_CO_Pct,Contingency_Utilization_Pct,Contingency_Burn_Ratio,Late_RFI_Rate,Impacted_RFI_Rate,RFI_per_10M,CO_per_10M,Health_Status,Critical_Trigger_Count,Watch_Trigger_Count,Primary_Risk_Driver,All_Risk_Triggers
42,PRJ-007,Granite Peak Apartments,Residential,Salem,OR,Public,Guaranteed Maximum Price,Design-Bid-Build,PM-007,Complete,Closeout,2025-06-30,29562600,30109700,1625900,29562600,29562600,32982900,34889900,100.0,2025-06-02,2025-06-18,1130900,1,7,6,547100,0,42,49.83333333,20,1,15.05,15,7,119200,25,0.89630081,1.0,-3420300,0,32982900.0,0.0,-3420300.0,0.11569686,0.01850649,16,0.01850649,0.0,0.69555323,0.69555323,0.75,0.35,6.76530481,2.36785668,Red,2,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 15 days
43,PRJ-022,Summit Point Public Safety Center,Institutional,Spokane,WA,Public,Guaranteed Maximum Price,Design-Build,PM-001,Active,Construction,2025-12-31,64744000,65132800,3915700,46320500,42694600,47060000,61334800,65.9,2026-09-14,2026-11-01,1815600,4,9,4,388800,810700,27,42.5,21,4,15.42857143,16,7,161800,26,0.90723757,0.92172148,-4365400,-3625900,71363887.70476829,24303887.70476829,-6619887.70476829,0.10224712,0.00600519,48,0.00600519,0.01252162,0.46367188,0.70359922,0.76190476,0.33333333,3.2435438,1.3900902,Red,2,2,Forecast overrun > 10%,Forecast overrun > 10%; Delay > 30 days; CPI < 0.95; SPI < 0.95
44,PRJ-006,Red Rock Bridge Rehabilitation,Heavy Civil & Infrastructure,Idaho Falls,ID,Public,Unit Price,Design-Bid-Build,PM-002,Complete,Closeout,2024-09-30,36211800,36646600,1839800,36211800,36211800,39996600,42052100,100.0,2024-09-05,2024-09-15,1219300,0,6,4,434800,0,13,47.75,19,0,14.68421053,16,8,269800,26,0.90537196,1.0,-3784800,0,39996600.0,0.0,-3784800.0,0.10451842,0.01200714,10,0.01200714,0.0,0.66273508,0.66273508,0.84210526,0.42105263,5.24690847,1.65691846,Red,1,1,Forecast overrun > 10%,Forecast overrun > 10%; CPI < 0.95
45,PRJ-011,Westfield Housing,Residential,Mesa,AZ,Public,Guaranteed Maximum Price,Design-Bid-Build,PM-006,Complete,Closeout,2024-01-31,27228800,27507400,2455500,27228800,27228800,30047900,31007100,100.0,2023-12-14,2024-01-13,1469100,2,6,5,278600,131900,19,44.4,22,3,14.04545455,18,2,21400,4,0.9061798,1.0,-2819100,0,30047900.0,0.0,-2819100.0,0.10353376,0.01023181,30,0.01023181,0.00484414,0.59828955,0.59828955,0.81818182,0.09090909,8.07968034,2.20354918,Red,1,2,Forecast overrun > 10%,Forecast overrun > 10%; CPI < 0.95; Delay > 15 days
46,PRJ-028,Evergreen Residences,Residential,Santa Fe,NM,Private,Cost Plus,Design-Bid-Build,PM-001,Complete,Closeout,2024-01-31,9052000,9293400,604800,9052000,9052000,9795600,10089400,100.0,2023-12-01,2024-01-05,326700,3,8,6,241400,30400,40,33.0,18,2,13.5,15,4,185800,16,0.92408837,1.0,-743600,0,9795600.0,0.0,-743600.0,0.08214759,0.02666814,35,0.02666814,0.00335837,0.54017857,0.54017857,0.83333333,0.22222222,19.88510826,8.83782589,Red,1,2,Delay > 30 days,Delay > 30 days; CPI < 0.95; Forecast overrun > 5%
47,PRJ-071,Canyon Ridge Public Safety Center,Institutional,Reno,NV,Public,Guaranteed Maximum Price,Design-Bid-Build,PM-002,Active,Construction,2025-12-31,129697800,134156200,6602300,117545300,107815700,116074200,143821300,83.1,2026-05-18,2026-07-28,3453400,9,7,7,4458400,0,51,36.42857143,25,7,11.2,17,8,308100,14,0.92885154,0.91722681,-8258500,-9729600,139632431.79574034,23558231.79574034,-9934631.79574034,0.07659831,0.03437529,71,0.03437529,0.0,0.52306015,0.62943459,0.68,0.32,1.92755775,0.53971617,Red,1,3,Delay > 30 days,Delay > 30 days; CPI < 0.95; SPI < 0.95; Forecast overrun > 5%
48,PRJ-001,Desert Willow Public Safety Center,Institutional,Salt Lake City,UT,Public,Lump Sum,CMAR,PM-008,Active,Closeout,2025-12-31,47876900,48500200,2996700,47876900,47666400,51257800,53129000,99.6,2025-12-09,2026-01-23,1708600,4,6,6,623300,0,27,40.66666667,17,3,13.29411765,12,3,50700,13,0.92993457,0.99560331,-3591400,-210500,51484160.01250356,226360.01250356,-3607260.01250356,0.07534448,0.0130188,45,0.0130188,0.0,0.57016051,0.57245031,0.70588235,0.17647059,3.55077292,1.25321397,Red,1,2,Delay > 30 days,Delay > 30 days; CPI < 0.95; Forecast overrun > 5%
49,PRJ-057,Highland Park Medical Center,Institutional,Denver,CO,Public,Unit Price,Design-Bid-Build,PM-003,Active,Closeout,2025-12-31,49732600,50949700,3172800,49732600,49054700,51228200,54365800,98.6,2025-12-16,2026-02-22,1934900,4,7,5,1217100,325000,31,46.2,19,4,12.42105263,13,2,36700,11,0.9575722,0.9863691,-2173500,-677900,51936136.17696164,707936.17696164,-2203536.17696164,0.04430768,0.02447288,68,0.02447288,0.00653495,0.60983989,0.61849887,0.68421053,0.10526316,3.82043167,1.40752746,Red,1,0,Delay > 30 days,Delay > 30 days
50,PRJ-023,Blue Mesa Medical Center,Institutional,San Antonio,TX,Public,Guaranteed Maximum Price,Design-Build,PM-007,Active,Construction,2025-12-31,53214100,55945100,4374600,39708000,36619000,38106600,53228300,68.8,2026-11-17,2027-01-22,2038800,4,8,6,2731000,321200,41,32.33333333,22,4,9.81818182,9,5,90600,12,0.96096214,0.92220711,-1487600,-3089000,55375854.69455747,17269254.69455747,-2161754.69455747,0.04062372,0.05132098,66,0.05132098,0.00603599,0.46605404,0.67740413,0.40909091,0.22727273,4.13424262,1.50336095,Red,1,1,Delay > 30 days,Delay > 30 days; SPI < 0.95
51,PRJ-041,Westfield Residences,Residential,Fresno,CA,Private,Guaranteed Maximum Price,Integrated Project Delivery,PM-008,Complete,Closeout,2024-11-30,39698700,40381800,3209000,39698700,39698700,43666000,45029000,100.0,2024-11-09,2024-11-11,2108100,0,8,3,683100,523400,20,40.66666667,16,0,12.6875,9,3,97600,19,0.90914441,1.0,-3967300,0,43666000.0,0.0,-3967300.0,0.09993526,0.01720711,2,0.01720711,0.01318431,0.65693362,0.65693362,0.5625,0.1875,4.03035868,2.01517934,Yellow,0,2,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%
52,PRJ-066,Aspen Grove Medical Center,Institutional,St. George,UT,Public,Lump Sum,Design-Bid-Build,PM-012,Active,Closeout,2025-12-31,34715500,35038500,2142000,33235100,32652600,35828600,39234900,94.1,2026-05-05,2026-06-02,1335700,2,6,2,323000,187300,2,41.0,13,2,13.07692308,10,5,156900,17,0.91135573,0.98247335,-3176000,-582500,38092150.80269258,2263550.80269258,-3376650.80269258,0.09726637,0.0093042,28,0.0093042,0.00539528,0.6235761,0.66267385,0.76923077,0.38461538,3.74472498,1.72833461,Yellow,0,3,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%; Delay > 15 days
53,PRJ-050,Copper Creek Mixed-Use District,Mixed-Use,Fresno,CA,Private,Guaranteed Maximum Price,Design-Bid-Build,PM-001,Active,Closeout,2025-12-31,67108500,68117300,5408000,65489800,64511400,70784800,75843500,96.1,2026-03-17,2026-04-10,2833500,1,6,4,1008800,119800,40,23.5,17,0,14.47058824,11,4,246800,5,0.91137363,0.98506027,-6273400,-978400,73634454.542918,2849654.542918,-6525954.542918,0.09724483,0.01503237,24,0.01503237,0.00178517,0.52394601,0.54520916,0.64705882,0.23529412,2.53321114,0.89407452,Yellow,0,3,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%; Delay > 15 days
54,PRJ-055,Sunrise Market Hall,Commercial,Spokane,WA,Private,Lump Sum,Design-Bid-Build,PM-009,Complete,Closeout,2022-11-30,30802600,31227600,2330000,30802600,30802600,33743900,35013400,100.0,2022-10-16,2022-11-06,1360300,1,4,3,425000,0,24,40.33333333,22,0,15.45454545,19,6,145300,27,0.91283462,1.0,-2941300,0,33743900.0,0.0,-2941300.0,0.09548869,0.01379754,21,0.01379754,0.0,0.58381974,0.58381974,0.86363636,0.27272727,7.14225423,1.29859168,Yellow,0,3,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%; Delay > 15 days
55,PRJ-049,Red Rock Business Park,Commercial,Sacramento,CA,Private,Guaranteed Maximum Price,CMAR,PM-007,Complete,Closeout,2024-10-31,5632400,5753800,322500,5632400,5632400,6131200,6336500,100.0,2024-10-10,2024-10-20,195300,2,4,4,121400,0,36,40.0,15,2,12.0,11,3,66200,7,0.91864562,1.0,-498800,0,6131200.0,0.0,-498800.0,0.08855905,0.02155387,10,0.02155387,0.0,0.6055814,0.6055814,0.73333333,0.2,26.63163128,7.10176834,Yellow,0,2,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%
56,PRJ-047,Northstar Roadway Improvements,Heavy Civil & Infrastructure,Fresno,CA,Public,Unit Price,CMAR,PM-005,Complete,Closeout,2025-04-30,65704000,65704000,4972500,65679000,65704000,71351900,75198200,100.0,2025-05-11,2025-04-27,2783800,3,6,0,0,641000,0,,17,2,14.64705882,14,5,176800,17,0.92084443,1.00038064,-5647900,25000,71351900.0,0.0,-5647900.0,0.08595976,0.0,-14,0.0,0.00975587,0.55983912,0.55983912,0.82352941,0.29411765,2.5873615,0.91318641,Yellow,0,2,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%
57,PRJ-036,Canyon Ridge Residences,Residential,Meridian,ID,Private,Unit Price,Design-Build,PM-010,Active,Construction,2025-12-31,13348200,13714700,1050300,9954800,9629800,10410300,12674600,72.1,2026-09-18,2026-10-10,559200,2,6,6,366500,0,55,37.16666667,20,2,15.2,15,7,180700,31,0.92502618,0.96735243,-780500,-325000,14430078.13869447,4019778.13869447,-1081878.13869447,0.08105049,0.02745689,22,0.02745689,0.0,0.53241931,0.73844564,0.75,0.35,14.98329363,4.49498809,Yellow,0,3,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%; Delay > 15 days
58,PRJ-037,Red Rock Townhomes,Residential,Portland,OR,Private,Guaranteed Maximum Price,CMAR,PM-007,Complete,Closeout,2025-01-31,81557700,82209900,8071900,81557700,81557700,87724100,91486500,100.0,2025-01-10,2025-01-23,5131900,3,6,2,652200,843200,10,24.0,16,3,13.3125,12,3,54700,14,0.92970689,1.0,-6166400,0,87724100.0,0.0,-6166400.0,0.07560782,0.00799679,13,0.00799679,0.01033869,0.63577349,0.63577349,0.75,0.1875,1.96180128,0.73567548,Yellow,0,2,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%
59,PRJ-044,Canyon Ridge Urban Village,Mixed-Use,Portland,OR,Private,Lump Sum,Design-Build,PM-006,Active,Procurement,2025-12-31,79900800,81018700,6493900,31886300,30642500,32731600,43989000,38.4,2027-08-10,2027-09-05,1619000,2,5,3,1117900,857100,33,42.33333333,15,2,13.26666667,11,6,50700,13,0.93617483,0.96099265,-2089100,-1243800,85348161.05996573,52616561.05996573,-5447361.05996573,0.06817655,0.0139911,26,0.0139911,0.01072705,0.24931089,0.64924711,0.73333333,0.4,1.87732789,0.62577596,Yellow,0,3,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%; Delay > 15 days
60,PRJ-005,Pioneer Crossing Living Community,Residential,Mesa,AZ,Private,Lump Sum,Design-Bid-Build,PM-006,Complete,Closeout,2024-08-31,76603500,77653900,4401700,76603000,76603500,81439200,83882400,100.0,2024-09-01,2024-08-29,2202900,1,8,6,1050400,724700,48,28.5,13,2,12.69230769,10,2,8700,10,0.94062196,1.00000653,-4835700,500,81439200.0,0.0,-4835700.0,0.06312636,0.01371217,-3,0.01371217,0.0094604,0.50046573,0.50046573,0.76923077,0.15384615,1.6970504,1.04433871,Yellow,0,2,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%
61,PRJ-054,Evergreen Corporate Campus,Commercial,Colorado Springs,CO,Private,Guaranteed Maximum Price,CMAR,PM-004,Complete,Closeout,2024-04-30,84587500,85582600,4106100,84587500,84587500,89081600,93806500,100.0,2024-03-15,2024-04-08,1881600,1,6,3,995100,1628200,14,39.0,12,2,11.0,7,3,38000,5,0.94955075,1.0,-4494100,0,89081600.0,0.0,-4494100.0,0.0531296,0.01176415,24,0.01176415,0.01924871,0.45824505,0.45824505,0.58333333,0.25,1.41864933,0.70932466,Yellow,0,3,CPI < 0.95,CPI < 0.95; Forecast overrun > 5%; Delay > 15 days
62,PRJ-012,Cedar Valley Processing Plant,Industrial,Henderson,NV,Public,Cost Plus,Design-Bid-Build,PM-009,Complete,Closeout,2025-05-31,23128700,23520900,1511200,23128400,23128700,24331800,25495900,100.0,2025-06-02,2025-05-24,964000,1,7,6,392200,0,29,30.66666667,17,2,15.23529412,13,4,257700,3,0.95055442,1.00001297,-1203100,300,24331800.0,0.0,-1203100.0,0.05201762,0.01695729,-9,0.01695729,0.0,0.63790365,0.63790365,0.76470588,0.23529412,7.35017532,3.02654278,Yellow,0,1,Forecast overrun > 5%,Forecast overrun > 5%
63,PRJ-045,Desert Willow Learning Center,Institutional,Portland,OR,Public,Unit Price,Design-Bid-Build,PM-002,Complete,Closeout,2025-09-30,51862400,53099400,3380500,51862400,51862400,54328500,56453900,100.0,2025-08-12,2025-09-08,1617100,1,6,4,1237000,0,48,50.25,17,0,13.52941176,12,3,114200,15,0.95460762,1.0,-2466100,0,54328500.0,0.0,-2466100.0,0.04755083,0.02385158,27,0.02385158,0.0,0.47836119,0.47836119,0.70588235,0.17647059,3.27790461,1.15690751,Yellow,0,1,Delay > 15 days,Delay > 15 days
64,PRJ-033,Copper Creek Utility Expansion,Heavy Civil & Infrastructure,Santa Fe,NM,Public,Unit Price,Design-Bid-Build,PM-010,Complete,Closeout,2025-08-31,297370800,305739600,28683800,297166200,297370800,312104000,326234400,100.0,2025-09-13,2025-08-14,18207900,1,7,4,8368800,644200,21,38.25,20,0,16.1,16,6,185300,21,0.95279394,1.0006885,-14733200,204600,312104000.0,0.0,-14733200.0,0.04954488,0.02814264,-30,0.02814264,0.00216632,0.63477991,0.63477991,0.8,0.3,0.67256099,0.23539635,Green,0,0,No threshold breach,None
65,PRJ-073,Silver Lake Corporate Campus,Commercial,Eugene,OR,Private,Unit Price,Design-Build,PM-011,Complete,Closeout,2025-04-30,74572000,75370600,5524500,74387300,74572000,77377500,80030300,100.0,2025-05-15,2025-04-15,3493200,1,3,3,798600,0,34,53.33333333,18,1,14.61111111,17,4,41700,13,0.96374269,1.00248295,-2805500,184700,77377500.0,0.0,-2805500.0,0.03762136,0.01070911,-30,0.01070911,0.0,0.63231062,0.63231062,0.94444444,0.22222222,2.41377461,0.40229577,Green,0,0,No threshold breach,None
66,PRJ-052,Cedar Valley Market Hall,Commercial,Portland,OR,Public,Guaranteed Maximum Price,Design-Build,PM-002,Complete,Closeout,2025-05-31,12129200,12238200,672600,12129000,12129200,12578600,12955900,100.0,2025-06-02,2025-05-03,385700,1,6,3,109000,94300,29,46.0,14,2,11.42857143,8,2,17200,8,0.96427265,1.00001649,-449400,200,12578600.0,0.0,-449400.0,0.03705108,0.00898658,-30,0.00898658,0.00777463,0.57344633,0.57344633,0.57142857,0.14285714,11.54239356,4.9467401,Green,0,0,No threshold breach,None
67,PRJ-015,Summit Point Main Street Development,Mixed-Use,Fresno,CA,Public,Guaranteed Maximum Price,Design-Bid-Build,PM-007,Complete,Closeout,2024-07-31,60271400,60423500,4382900,60271400,60271400,62381500,65737800,100.0,2024-07-14,2024-07-10,2193500,3,8,1,152100,1985400,0,36.0,18,4,10.77777778,12,3,84700,5,0.96617427,1.0,-2110100,0,62381500.0,0.0,-2110100.0,0.03500997,0.00252358,-4,0.00252358,0.032941,0.50046773,0.50046773,0.66666667,0.16666667,2.98649111,1.32732938,Green,0,0,No threshold breach,None
68,PRJ-059,Westfield Community College,Institutional,Tacoma,WA,Public,Unit Price,CMAR,PM-010,Active,Procurement,2025-12-31,36111700,36561800,3303200,15070800,15166100,15685100,25634000,42.0,2027-07-11,2027-07-07,789200,7,6,2,450100,197400,19,34.0,25,5,12.68,16,0,0,0,0.96691127,1.00632349,-519000,95300,37347480.6093854,21662380.6093854,-1235780.6093854,0.03422106,0.0124641,-4,0.0124641,0.00546637,0.23891984,0.56885675,0.64,0.0,6.92296403,1.66151137,Green,0,0,No threshold breach,None
69,PRJ-026,Pioneer Crossing Distribution Center,Industrial,Idaho Falls,ID,Private,Guaranteed Maximum Price,Design-Build,PM-007,Active,Construction,2025-12-31,45993600,46567600,4019900,35438200,35181700,35953800,47521200,76.5,2026-09-03,2026-09-08,1731100,2,6,3,574000,184200,41,45.0,20,2,12.6,14,6,212100,10,0.97852522,0.99276205,-772100,-256500,47002978.69858478,11049178.69858478,-1009378.69858478,0.02194607,0.01248,5,0.01248,0.00400491,0.4306326,0.56291844,0.7,0.3,4.34843109,1.30452933,Green,0,0,No threshold breach,None
70,PRJ-019,Copper Creek Learning Center,Institutional,San Antonio,TX,Private,Unknown,Design-Bid-Build,PM-012,Active,Construction,2025-12-31,102004800,104613700,9598300,57629400,58175600,59010600,84496200,57.0,2026-12-13,2026-12-08,3569300,2,9,7,2608900,242900,45,42.14285714,17,2,11.41176471,12,5,75000,7,0.98585,1.0094778,-835000,546200,103468884.73655622,44458284.73655622,-1464084.73655622,0.0143531,0.02557625,-5,0.02557625,0.00238126,0.37186793,0.65239989,0.70588235,0.29411765,1.66658824,0.88231142,Green,0,0,No threshold breach,None
71,PRJ-029,Granite Peak Bridge Rehabilitation,Heavy Civil & Infrastructure,Reno,NV,Public,Lump Sum,CMAR,PM-010,Active,Construction,2025-12-31,123914200,126668300,9348900,101631500,109145800,109804900,128402400,88.1,2026-09-12,2026-08-13,3996100,1,5,4,2754100,523200,23,38.5,19,1,13.26315789,11,4,388800,10,0.99399754,1.07393672,-659100,7514300,124662482.10723637,14857582.10723637,-748282.10723637,0.00603871,0.02222586,-30,0.02222586,0.00422228,0.42744066,0.48517669,0.57894737,0.21052632,1.53331902,0.40350501,Green,0,0,No threshold breach,None
72,PRJ-051,Westfield Technology Facility,Industrial,Seattle,WA,Public,Guaranteed Maximum Price,Design-Build,PM-012,Complete,Closeout,2023-06-30,108544300,109327700,9834600,108478300,108544300,107577800,111573000,100.0,2023-07-10,2023-06-10,5035700,1,4,2,783400,562400,9,25.5,13,2,9.69230769,6,3,176700,11,1.0089842,1.00060842,966500,66000,107577800.0,0.0,966500.0,-0.0089042,0.00721733,-30,0.00721733,0.00518129,0.51203913,0.51203913,0.46153846,0.23076923,1.19766768,0.36851313,Green,0,0,No threshold breach,None
73,PRJ-010,Silver Lake Bridge Rehabilitation,Heavy Civil & Infrastructure,Fort Collins,CO,Public,Lump Sum,CMAR,PM-009,Complete,Closeout,2024-01-31,115348100,116127800,9324700,115072600,115348100,113751100,117163600,100.0,2024-02-20,2024-01-21,4052400,1,5,3,779700,186900,16,41.66666667,19,1,11.57894737,11,3,61900,4,1.01403942,1.00239414,1597000,275500,113751100.0,0.0,1597000.0,-0.01384505,0.00675954,-30,0.00675954,0.00162031,0.43458771,0.43458771,0.57894737,0.15789474,1.64718795,0.43347051,Green,0,0,No threshold breach,None
74,PRJ-021,Highland Park Roadway Improvements,Heavy Civil & Infrastructure,Las Cruces,NM,Public,Guaranteed Maximum Price,Design-Build,PM-009,Complete,Closeout,2024-03-31,67733200,68598600,6687100,67662700,67733200,66732300,68754100,100.0,2024-04-12,2024-03-22,3102400,1,5,3,865400,1012800,4,29.0,19,1,12.94736842,12,3,23300,17,1.01499873,1.00104193,1000900,70500,66732300.0,0.0,1000900.0,-0.0147771,0.0127766,-21,0.0127766,0.01495279,0.46393803,0.46393803,0.63157895,0.15789474,2.80512363,0.73819043,Green,0,0,No threshold breach,None
75,PRJ-048,Mesa Vista Urban Village,Mixed-Use,Idaho Falls,ID,Private,Guaranteed Maximum Price,CMAR,PM-008,Complete,Closeout,2024-04-30,42336600,43200200,4226300,42306700,42336600,41410600,43632200,100.0,2024-05-15,2024-04-15,2109000,1,5,5,863600,0,18,39.2,22,3,9.31818182,13,4,209100,12,1.02236142,1.00070674,926000,29900,41410600.00000001,1e-08,925999.99999999,-0.02187233,0.02039843,-30,0.02039843,0.0,0.49901805,0.49901805,0.59090909,0.18181818,5.19644941,1.18101123,Green,0,0,No threshold breach,None
